Multi Channel DataManager 1.14.8.22147 ASCII Export
File version: 1
Stream label: Spike Detector (1);Spike Detector; Spike Timestamps1
Stream type: TimeStamp
Data subtype: NeuralSpike

47 (ID=0) [µs],48 (ID=1) [µs],46 (ID=2) [µs],45 (ID=3) [µs],38 (ID=4) [µs],37 (ID=5) [µs],28 (ID=6) [µs],36 (ID=7) [µs],27 (ID=8) [µs],17 (ID=9) [µs],26 (ID=10) [µs],16 (ID=11) [µs],35 (ID=12) [µs],25 (ID=13) [µs],15 (ID=14) [µs],14 (ID=15) [µs],24 (ID=16) [µs],34 (ID=17) [µs],13 (ID=18) [µs],23 (ID=19) [µs],12 (ID=20) [µs],22 (ID=21) [µs],33 (ID=22) [µs],21 (ID=23) [µs],32 (ID=24) [µs],31 (ID=25) [µs],44 (ID=26) [µs],43 (ID=27) [µs],41 (ID=28) [µs],42 (ID=29) [µs],52 (ID=30) [µs],51 (ID=31) [µs],53 (ID=32) [µs],54 (ID=33) [µs],61 (ID=34) [µs],62 (ID=35) [µs],71 (ID=36) [µs],63 (ID=37) [µs],72 (ID=38) [µs],82 (ID=39) [µs],73 (ID=40) [µs],83 (ID=41) [µs],64 (ID=42) [µs],74 (ID=43) [µs],84 (ID=44) [µs],85 (ID=45) [µs],75 (ID=46) [µs],65 (ID=47) [µs],86 (ID=48) [µs],76 (ID=49) [µs],87 (ID=50) [µs],77 (ID=51) [µs],66 (ID=52) [µs],78 (ID=53) [µs],67 (ID=54) [µs],68 (ID=55) [µs],55 (ID=56) [µs],56 (ID=57) [µs],58 (ID=58) [µs],57 (ID=59) [µs]
,,457291720,,,65520760,,,,,120651240,,,,,,,,457418320,,,,,214322600,,,43148080,75501680,,10019440,,26046560,,,,52660640,,,,,,,,,,,,,42483840,65760880,,,,34242520,,,,,,
,,469765080,,,75577880,,,,,128684720,,,,,,,,469911360,,,,,214441800,,,43535120,75542600,,10025160,,33950160,,,,53266840,,,,,,,,,,,,,42947680,65835280,,,,34352520,,,,,,
,,470470680,,,75597600,,,,,128710840,,,,,,,,476980560,,,,,214636440,,,51849240,76463320,,10139320,,34073640,,,,64310880,,,,,,,,,,,,,43157840,65896880,,,,34436000,,,,,,
,,493683520,,,75609520,,,,,128936080,,,,,,,,493678440,,,,,215484480,,,52226960,76769400,,10145280,,34118960,,,,64656160,,,,,,,,,,,,,43298920,75511920,,,,34720760,,,,,,
,,494314040,,,75625880,,,,,147290720,,,,,,,,493691240,,,,,223637360,,,53281800,77084600,,10224280,,34280480,,,,65308320,,,,,,,,,,,,,51940960,75697520,,,,35203720,,,,,,
,,505909360,,,76884320,,,,,147308360,,,,,,,,505917840,,,,,223863400,,,53286160,83301400,,10360760,,34360720,,,,75484480,,,,,,,,,,,,,51944280,75769400,,,,35288880,,,,,,
,,516214480,,,77534840,,,,,148234080,,,,,,,,505922840,,,,,224204800,,,64308520,83308800,,10369600,,34580960,,,,76112320,,,,,,,,,,,,,51950000,75848600,,,,35368200,,,,,,
,,545350960,,,83441920,,,,,154229200,,,,,,,,510553280,,,,,224316640,,,64358280,83344000,,16879200,,34737360,,,,76935840,,,,,,,,,,,,,52072280,76084920,,,,35657760,,,,,,
,,555014360,,,83459960,,,,,154307840,,,,,,,,516235760,,,,,232514360,,,64587880,83362920,,16887320,,34881720,,,,77016280,,,,,,,,,,,,,52134520,76293360,,,,35869160,,,,,,
,,555151120,,,83475800,,,,,155065640,,,,,,,,531434920,,,,,232534320,,,64660440,90967600,,16891080,,35059320,,,,77464800,,,,,,,,,,,,,52206040,83322800,,,,41613360,,,,,,
